,Name,Date,Star Rating,Title,Feedback
10,Regina Lynn,17 days ago,5,The reason I have a Quest,"Supernatural is an incredible fitness program and community. I love the choreography, the coaching, the music, the environments, and the vast variety of workouts available. The workouts are so adaptable to most bodies and fitness levels, whether you are already active or getting back to movement or starting for the first time. You can work out seated; use one-controller mode; calibrate to your own height and reach; and other modifications as needed. Supernatural keeps getting even better and offering more. Highly recommended."
11,Joe Kastendieck,Jan 28 at 6:36 PM,5,Really well-made fitness app,"First off, let’s address the main hang-up people have - the subscription model. This app is around $230 a year (CND, USD is $180). That’s a lot of money. But for me, this is my main source of exercise, which I use about 3-4 times a week for 30 minutes a session, so it’s worth it. I also use my work’s wellness spending account to cover my membership fee, so that makes it pretty easy to swallow.

Cost aside, it’s a great workout - I’m often out of breath and literally dripping sweat by the end. As someone who isn’t super coordinated when it comes to dancing, I find the mapping of targets in the flow workouts to be super helpful in making me move to music I like in a way that feels graceful, powerful and in-time (although how it looks outside the headset may be a different story). And the boxing is just excellent - who wouldn’t like to punch things and dodge to an epic soundtrack? I’ve never really been overweight, but I still leaned up and lost around 13lbs since starting Supernatural a year ago. My cardio stamina has noticeably improved.

I think that’s another thing - I’ve been regularly working out for a year with minimal lapses. That’s a huge win for my health, and I don’t even need to leave my house. The app keeps things fresh by adding new workouts daily. That helps a lot. Yes, there are common songs that are recycled, but new ones are added regularly as well. No, you can’t choose the songs to make a custom workout, but the devs have added the option to select a workout by searching by artist. Nice touch. Also, I have added new songs to my liked list on Spotify because I’ve discovered some new music on Supernatural. 

The natural environments you do workouts in are top-notch. They keep adding more, and they’ve become better with time. I really enjoy the “moment” meditations that let you just sit in the environments for ten minutes.

The coaches are good. If you get annoyed with them and just want to be “in the zone” with no interruptions, a new “focus mode” has been added to the in-workout menu, enabling you to mute the coaches for everything except the warm up and cooldown. I use it once in awhile (maybe once every 4-5 workouts), but I’ve found that along with their cheesy jokes, the tips for movement and form from the coaches are actually pretty good and help me take stock of if I’m stiffening up, not breathing or not extending enough. I tend to leave the coaches on unless I find the dialogue too distracting. Each coach brings their own personality and I appreciate that they record a new segment for each new workout. 

Overall, this is a feature-rich, well-developed workout app that will kick your butt if you’re fully into it. It stays fresh, and the devs keep trying to make it better. The workout stats are really nice, and the new “search by artist” feature is great too. I could do without the new “congrats” cutscene when I hit my weekly goal, the sparkly check marks and “success” sound were enough for me. Yes, this app is expensive, but it is the app that gets the most hours of use on my Quest, and it’s improved my quality of life. I’d say that’s worth $230. Especially when my benefits are paying for it!"
12,Beefy,Jan 14 at 5:12 AM,5,This App Changed Me Fr Fr,Came thru this thang like a sceptic; sucking my teeth at every possibility of spending my hard earned clams on some goofy ahh monthly subscription app. Come to find ya boy is now madly in love with all the coaches and calls himself Shareef Monster on the super natural social app because I’m loyal like that. Download this app if you have a dream of ending racism. Avoid this app if you’re rude to waiters.
13,Gini,20 days ago,5,Since the beginning....,"I've become a deprived Junkie to this since my work schedule has changed ...2 devices, 4 avatars, and a dozen email accounts I had to create for integration of family life/device ,(etc)...and the Bluetooth/web ""entities"".. correcting our mistakes...systematically.  Even when having issues . .they were supportive ...yet systematic along with the system that was faster at consolidations my name/email address to pay ent method...however not forgiving if descrepancies got cross checked in the beginning and  at least..only charged once per payment method per month ..their usage issues have subsided  more quickly than many other service app s who shall remain nameless at this time. IT IS THE ONLY RECURRING PAYMENT I HAVE...AGAINST MY BANK ACCOUNT. PERIOD.  Anyone else gots a one time shot each time. Not to mention ...a self proclaimed Supernatural ""junkie""...since they started..  and still am .. deprived for time recently...but at least it's there when I have a chunk of time...or make one..late or early. Depending on your schedule ..before or after...in mine."
14,La Toya Rucker,21 days ago,5,I absolutely love it,Awesome... Just awesome.  It's a great daily habit it start and keep going.  I've learned I'm tougher than I thought.  I look forward to working out because of this.  I can even take frustrations out with the boxing and even with the flow but I have to remember to use the wrist straps to my controllers won't fly  out of my hands lol
15,Dianne Packard,22 days ago,5,Love Supernatural,"Researched Supernatural before getting my Meta Quest 2, it looked like pure fun!  
Not only is it fun, it is challenging and gives a great work out.  I encourage everyone I meet to buy it. 
I am by no means perfectly in shape.. 51 slightly over weight, but still decently fit... and these sets make me sweat!  I feel like i am playing a game and am not focused on ""working out""  I will finish one Flow session and then jump into a boxing one.  I thought boxing... Not for me!  But again, its a lot of fun and an awesome work out  while your play this game!
Each session starts and ends with gentle stretching. Coaches constantly encourage you , throughout.  
I also tried the stretching... and again its easy, and options are provided for those not as flexible.
Overall after a solid week of using it about 20 to 30 min a day,  I have less pain, Im already noticing a difference in my muscles, Im more flexible and Im sleeping better... although Im pretty sure that from just working it hard!! 

My advice to you?  BUY IT!! You wont regret it!"
16,Eggs Erroneous,12 hours ago,4,Tried it and liked it,"I started a free trial promotional to work out 5 minutes 5 days out of 7 and receive free controller grips. I did the goal and eventually ordered and received the grips ( good quality grips). I did not cancel the free trial in time and was charged the monthly fee. When you sign up for the free trial if you choose annual plan then you get 14 day trial, but if you choose  monthly you only get 7 day free trial. My fault for not reading the fine print. 

I used this app for 1 month and I was pretty much satisfied with the workout and entertainment. I can understand why this app is not free, there is a lot content of coaches and songs that inspire and move you along. I was getting a good workout using the boxing and paddle swatting. As is life though I cannot afford the monthly fee to continue, but I may join back in some time in the future."
17,Audrey,22 days ago,5,My favorite way to workout,"I started over a month ago, and now I play this game every day. It's the best workout! I love the high intensity boxing workouts the best because it keeps my heart rate high and burns the most calories.  About 500 cal an hr. I just wish the supernatural app would accept galaxy watch for tracking,  I just use my other apps to track it but it would help. Sometimes I use 2lb hand weights on the low to medium boxing workouts, if you try it it will seriously make your arms burn within a few songs. I have to take them off after a few songs . Thank you"
18,Wendy,3 days ago,2,Unhelpful customer service,"I’ve been using supernatural almost daily since January 2022 and was one of their biggest cheerleaders.  Prior to mid March 2023, I would have rated this program over five stars. However, after an update in mid-March, I started having problems with the program. I sent numerous emails and examples to Supernatural support and was routinely dismissed that there were no problems or it may be hardware issues.  Nope.  Hardware is just fine. I continue to play Supernatural because I like the program and the movement but my heart isn’t in it like it was.  All because of the lack of customer service and willingness to acknowledge that there is an issue and a fix."
19,Maajfic,3 days ago,1,Very disappointed,"The last time I have been on this game was a month ago, now here is the problem this game has took 190 dollars from my literal card. The bank called and told me that a game on oculous called supernatural took 190 dollars from my card without me putting my card in the game or anything this is so disappointing taking money from a card without someone putting it in or anything else. I did not purchase anything I thought this was free wow fix this game."
20,Lbn,Mar 17 at 8:52 PM,5,Unparalleled,"This app has reinvigorated my love of fitness and my workout regimen, I HIGHLY recommend this to anyone looking to get fit. The coaches and the workouts put you in the right headspace to feel empowered, and the workouts, music, and visual effects all motivate you to reach your goals. It helps with battling depression, anxiety, and self doubt.

LOVE LOVE LOVE!

🔥🔥🔥"
21,Matza,Mar 1 at 7:27 PM,5,"Captivating, Attainable, Challenging","Ive tried gyms, classes, home workouts, walking, running...so many things over the years, and always became bored or didnt like getting dressed to go in public to sweat. This ""game"" is amazing! I work out harder and longer because of the joy and excitement in the workouts. So many ways to change it up.  
I had stopped working out for the past year, im in my 50's. Had started getting a sore shoulder... was getting steroid shots. Now i dont need them. 
Did I mention... NOT boring!!"
22,Lelalu,Feb 6 at 9:11 PM,1,Boo,"Nice app if you are rich and like burning money.  I have since found Les Mills Body camp and it is so much better!  The coaches are better and you pay one fee to purchase, no monthly fees or yearly (gym) fees! Laughable.  It's a game not a gym and the coaches aren't real much less there in person, what a rip off."
23,Kierjo,25 days ago,5,Great workout But !!!!!!,"I was looking for some type of leader board and not one between just friends 😂 LOL but yet to find it. Or maybe it’s gone because it’s an everyone gets a trophy kind of world now. 

It would be nice to have that extra push like I find on other workout platforms on here, and nothing wrong with that. I think it’s great trying to push and beat others like a game. 

But all in all this is a Great workout platform, so if you’re on the fence I’d go for it and get in the workout. It’s definitely worth the small price for your health. Try for a month you will be hooked. 

And sorry about the rant on the world going soft but I think there’s room for improvement in a few areas. Put a leader board back😊😂"
24,Jessica Cougle,Mar 11 at 8:05 PM,5,Totally addicted!!!,"I bought VR 2 weeks ago and I have played it everyday since I bought it. Supernatural is one of the first apps I downloaded and man…I have never felt better! I’m 45 yrs old and feel stronger and more energetic since I started working out with Supernatural! I love the trainers, the works outs and the music.  Will update my review again in a few weeks!"
25,persephone,Mar 11 at 1:08 PM,5,Amazing!,"You would think that this is like Beat Saber, but it's not, at all. Even if you don't listen to the great trainers that help you and push you to keep going, It's still a major workout! I've never sweat so much doing an exercise video, and I started decades ago with the Wii. 🤣 
This is amazing! The music you can choose and the trainers in the background helping you to keep going, and the different levels and... and... and.... This is worth every penny you'd spend on it!! I hate excersizing but this is the most fun I've ever had and I'd recommend it to anyone!"
26,amanda lynn beck,12 days ago,3,Bad music,"I like the concept- play it all the time but this workout is expensive for a year! more than my planet fitness membership and I have a black card..
So forgive me when I say the music is terrible... one or 2 good songs- 2 or 3 good workouts but where's the great music we all love so dear.. I'm disappointed so I'm only giving it 3 stars.. I feel violated"
27,Carly,Feb 23 at 9:33 AM,5,AWESOME!!!!,I almost didn’t get it because so many compared it to Beat Saber which was free with my Quest 2….No Way!!! The two are nothing alike. I just started and can make it through just two songs then I need a break. My goal for next week is to make it to four songs. This is such a great workout and workout every part of your body. I am so in love with this and won’t need any other game. Excited for the journey. If you were like me and got a Quest for working out then you will love this!!!
28,Jordan,Dec 30 at 4:13 AM,2,Too pricey - It’s not a gym membership!,"I used Supernatural on a trial basis. I enjoyed it for the most part. I am glad to hear they now allow for the ability to mute the coaches for those who prefer that.

It is a shame because I - and I suspect lots of others agree - would happily pay for this app if it were a reasonable cost. They want to compare themselves to a gym membership… but they lack so much of what you get with a gym membership. I don’t understand how they can justify asking for nearly $200 per year. If they ever decide to price themselves appropriately, I’ll happily sign up!"
29,Sutpen,14 days ago,1,Supernatural steals money,Just discovered charges on my credit card for two months of Supernatural that I didn’t sign up for long after I cancelled my subscription.  Will be contacting Visa immediately. Beware. This company will scam you.
30,Molly,15 days ago,3,Room for Improvement But Still Fun,"So, this is one of the better fitness programs however there is always room for improvement. My issues in no particular order:

1. The “Power” rating makes absolutely no sense nor does their explanation of how it is measured. The title should be changed or a logical explanation provided.
2. You can’t turn off the coach’s instruction which is annoying especially since a couple of them have voices that are like nails on a chalk board to my sensitive ears. You can turn them down but should be able to just listen to the music and work out if you want 
3. The constant use of the word “Fam” “Family” and “Athlete” by the coaches. I get that you are trying to motivate and create a sense of community but it is annoying 
4. There isn’t lots of new content. I have  been doing the same workouts for several weeks in the hard flow levels?
5. In some of the hard and pro levels it seems like you are just flailing your arms and is this really good just to be able to hit the targets and some seem impossible to hit like white balls on both your left and right side at the same time. Make it challenging by constant movement but don’t make it so you look like one of those long arm waving guys at the car dealerships . I have seem similar comments and it appears like it could be dangerous in a way since it is such a jerky movement that could result in injury?
Just my two cents. I hope they always keep improving because if not it may get too boring and repetitive"
31,Funnyuser,4 days ago,5,Finally! Fitness you crave,"I’ve tried every exercise/fitness program out there, but finally found something I love that makes me look forward to working out!"
32,AveryChase,Jan 7 at 6:54 PM,5,"Lost weight, in shape, had FUN!","I have enjoyed spending the last year punching, hitting, and now kneeing my way to an improved self. With the encouragement of the coaches and wonderful song choices my body has transformed from the challenging movement sequences. My family is now joining me after seeing the transformation in mind, spirit, and body.  Thank you Supernatural!!!"
33,Ido_Oculusquest,Mar 5 at 8:02 PM,5,Needed this in my life,"I started the free trial 2 months ago not expecting much. It was inching closer to the end of the trial and I noticed how much fun I was having and had a nice sweat too. I’m now a satisfied subscriber of Supernatural. 

I’ve lost a significant amount of weight, gained more confidence, and actually unequivocally ￼enjoy working out all while being in the comfort of my own home. 

Thank you Supernatural team for keeping me motivated and having so much fun. You guys rock!"
34,Gmo88,Mar 18 at 8:22 AM,5,Thank you,I have cystic fibrosis and I am really self-conscious so i don't go to the gym because i get stares  and get anxiety because i have to use oxygen. But now i can work out at home ND feel like I'm not alone makes working out extremely fun
35,CJ,Mar 4 at 8:06 PM,5,Worth every penny,"Joined 15 months ago- still going strong - minus 40 lbs! I’ve never had a fitness routine I stuck with this long. What started as a free trial, has become almost a daily routine. It doesn’t get stale, as there are new workout’s introduced daily, and an active Facebook community full of support and encouragement- from all shapes, sizes and fitness levels. The coaches are real people who often engage personally with the community. The workouts are always changing- with new choreo and music that keeps the experience fresh and exciting. And there’s something for everyone - with different level workouts and modifiers - you can really find what works for you and scale up when you’re ready. I would definitely recommend taking advantage of the free trial- I’m so glad I did!"
36,Davina,Mar 8 at 6:50 PM,5,Love this one!,"I have tried a few of the fitness apps on here and have previously picked a favorite.  I originally was staying away from supernatural because of the reoccurring cost. However, I wanted to switch up what I was doing so decided to do the free trial and then cancel lol. Oh my goodness I have found a new favorite!!  So many of these fitness ones are very repetitive, but not 
supernatural!  No 2 moves are the same. I did my first workout and had no clue how much it kicked my butt until the next morning when my legs realized what an amazing workout I actually did!!"
37,CHELLBELLE,Mar 4 at 6:37 PM,5,Super! And Natural!,Supernatural is my favorite workout App. It combines super routines with natural scenery. I absolutely enjoy it 😊.  It's for ANYONE who is willing to use it. It's easy to learn and provides much needed variety. Mind and body is my all time favorite series. It combines meditation 🧘‍♀️ with exercise. Thank you Supernatural!
38,Mae Swisher,18 days ago,3,Great game…. But the same playlist,I’ve been playing the game for almost 8 months now. Been around the app checked out the different styles of music. But you guys seem to give us the same songs EVERY day. And when we do get something new their more rock based or pop based. I loved seeing R&B on the list of songs I could play. And would love to see more diversity as such. SO PLEASE GIVE US WHAT WE WANT
39,Olender,20 days ago,4,Wow,"Lost some kg🤪! I have narcolepsy and Moving help me stay awake especially in the morning which are the most difficult to manage. !!! Why 4 not 5 I think the stretching programs are to short . I know it’s VR , however  you can do  different levels stretching with longer time. It could help us to get back on our feet ….
It was the best money I spent 
Also can we , like only connect with others, boxing program competition ect . ? Just 💡 the idea"
40,NickiNRB,Jan 22 at 2:26 AM,5,SUPERNATURAL - Best workout app,"I honestly cancelled my gym membership because I was using this app more!  I like working out before going to work early in the morning  before the sun comes up. The  music and especially with Coach RANEIR POLLARD,  that one…. and his energy, his “Full Body”and his other workouts gets me pumped !!   I’m seeing results and having fun working out to the music. Best workout App on Oculus by far, best workout app PERIOD, believe that!  It’s definitely worth the yearly price, basically $15 a month for hundreds of workouts. My gym membership cost way more than that."
41,WandaPR,20 days ago,5,Loving it 💪🏻,"I love it and am seeing results but it would be nice to do the workouts offline too.  and I hope you guys add more music like Prince, Cyndi Lauper, Tina turner and in that line. Keep it up!"
42,zar,19 days ago,4,Fun game,"Ive tried this, Supernatural, Powerbeats, Les Mills, so I'll compare them below. I've seen many people mentioning Beat Saber and Synth Riders games in these reviews which isn't relevant because these two games are very mild forms of exercise. However I'll be recommending more game-like exercise apps at the bottom.

Supernatural: fun and intensive. Class options are flow (the standard slash, tilt and duck movements) and boxing. Many mainstream music options (Ariana Grande, the Weeknd, etc) which most apps dont have. Personally the music to me wasnt the empowering feel but more so popular radio hits, but this is a personal preference as to how you want to feel. Multiple coaches available. You do not have choice over environment and the options are limited but the ones they do includef are beautiful nature based. It does have meditation too which is cool though i tried one meditation and it was uneffective and the speaker didnt seem experienced, but not what i tried the app for anyways so doesnt really matter. $19 a month is insane so I'll never buy this after the trial.  Full body workout.
Overall pros: fun game, good exercise, motivating coaches
Cons: expensive, music not as empowering, environment, less variety compared to FitXR

Powerbeats: worst VR exercise game right now. Bored after just playing one level but gave it a chance by trying a few. Mostly just consists of swatting balls out the way, no kind of coaching, poor music options, poor environment options,  customizable yes but a good app should have adequate base options too. MAYBE the game gets more fun as you unlock more levels (you have to start out beginner) but every other app already has everything unlocked and ready. Overrated on Meta Quest app but appropriately rated on Youtube. light intensity.
Pros: customizable
Cons: music, environment, gameplay

FitXR: BEST OVERALL. The app with the most amount of various class-types and one of the only fitness apps that let's you have full choice over your environment options and having many choices to choose from (though I hope they'll add a nature based one!) You can use filters to choose the genre of music (different classes have different genres assigned), length of exercise, type of class, the difficulty and it'll show you the options. Many types of exercise such as boxing, dance, HIIT, combat etc. I do wish they had kicking function in the combat. Multitude of coaches available (some classes show the actual coach, some show a kind of cartoon like version of them which can. look kinda weird). Fun and empowering. Full body workout.
Pros: empowering music, fun, good exercise, variety, environment choices
Cons: could use 1 or 2 more functions in combat

Les Mills: this is fun and I like the (pre determined) music which changes based on the class you choose. The class options all have similar structures. I like the knee-hits, I haven't seen any other exercise game have that move yet. There are environment options such as city, space etc though it doesn't change your whole environment, just the sides. Your front environment always remains the same (a studio-like room). This app feels more boxing focused besides the knee hits even though it is advertised as combat. However this is the app I'd recommend if you DONT want to pay for a subscription since it is FAR superior to  Powerbeats. Full body workout though more focus on upper body.
Pros: fun, good exercise, knee-hit option, empowering music
Cons: environment visibility, variety

RHYTHM EXERCISE GAMES RECOMMENDATIONS (no coaching or classes):

Audio trip: though this is more marketed as a rhythm game because there's no gym feel (no coaching or types of classes) instead  you just choose the song you want and change the settings based on the intensity..  it is a great full body workout that can be just as demanding, if not more than all the other apps ive mentioned. GREAT workout. I do like the existing music options but they are quite limited and the DEVs rarely update it. There are no environment change options (though they provide really cool, neon or futiristic pre determined ones).  If you want lots of exercise and really want to feel the beat, I'd recommend this. I use this and fitXr together.
Pro: fun, good exercise
Cons: music and environment variety

Pistol Whip: this game is very intensive and difficult even on the easy setting. It's super fun and makes you feel really cool because you shoot and move to the beat of the music. Like Audio Trip, this game won't give you a gym feel/doesn't have any coaching or sense of classes but will build your endurance immensely! The songs are associated with the Level so you can choose what sounds good before playing that one, though no separate music choices. 
Pros: fun, good exercise, unique music
Cons: will take a lot of tries to get a good score"
43,Rogmocrypta,Jan 4 at 2:00 AM,1,Fun but insane price model. Update!,"The workouts are fun, the scenery is pretty, but the core of the game is fitness. This game popped up early and set a strong foundation for other workout apps but its pricing and what is offers is outdated when its competitors offer a flat rate one time purchase. My low review is solely due to the price. If I could even pay $150 once, I might consider this a high star game. Perhaps a free mode, or flat cost base game and charge more for songs sort of like the Switch Dancing game?

I really do like the coaches and the music, but this costs more than my local Skype session into an actual boxing class in CA, US. What is the subscription purchasing for me? It is unclear.

Update response to Dev: What part of this requires daily updates from the trainers? Are you simply recording them saying ""have a good [insert next holiday]""? Are you saying none of the workouts are recycled? Why can't we just buy a single workout and keep playing it? Or a set of workouts? Why are the other workout apps on the store playing licensed music and not charging the same monthly price? Clearly the devs are fine with the amount of money they are getting or they would update.

Another side question: I noticed the songs are bleeped out for some words. Do you expect children to be paying this price for a workout game? Or are we censoring for adults? Maybe a toggle option would be appreciated. Updated to one star for lame duck response. Additionally I tried missing the punches more and found the game is extremely generous with what it counts as a hit (compared to other workout apps)."
44,VL Proulx,19 days ago,1,Very poor ability to unsuscribe,Can load full app and choose any workout but when trying to unsuscribe the page page does not load and asks for a restart. Same thing over and over. Have paid for three months with no use. Will be cancelling credit card soon due to the difficulty to unsuscribe.
45,Michelle Wilson,Mar 18 at 10:31 PM,3,Why can't I share it with my family?,"I loved this app so much that I bought a second headset so my husband and I could work out in separate rooms (at the same time) because we were working out for an hour every day and our whole evening was shot. It was great that we were both working out but we wanted to see each other too.  However, we can't use two headsets with this app. It's really frustrating."
46,Sofia,Mar 18 at 1:11 AM,4,Love it! Much better than gym membership,"I’m enjoying Supernatural for over half a year now, and I simply love it. I exercise more regularly than I ever did. I like it that I can choose the right time to do it and I can stop whenever I want. The opportunity to get out of the house and into the beautiful scenery without actually doing it is amazing, especially since I often can’t go out IRL. I like the coaches and the updates that allow to use my legs are cool. I would love more different music."
47,Thiswastediousandannoying,Jan 21 at 8:56 AM,5,More than a game,"I started supernatural because I wasn't super familiar with the oculus and it's one of the first options I was shown while shopping around. 

I've had the Oculus for over a year now, and I have yet to pursue another game. I've bought a couple and played a bit, but nothing close to the amount of time I spend on Supernatural. It's become part of my daily routine. 

I look forward to my workouts, and after I'm done I'm not interested in looking for something else to do. The oculus has just become my gym, full stop. 

I've lost weight I didn't intend to, my arms and core have become so toned I hardly recognize my body when I see it. Because I play some stupid game on the reg. 

I sleep better. I feel more optimistic in general. I'm less anxious. Because Supernatural makes getting a workout in both challenging and fun. It's an easy yes to the question of whether or not you have time to workout. You do. And your life is improved in so many ways by that yes. This game makes that yes easy af. 

Agreeing with some of these reviews that the subscription price seems blatantly inflated. But I don't know anything about what it takes to keep something like this running so....idk, just wish it cost less monthly. 

Shout out to coach Doc YOU MUH BOY"
48,AdventureCherie,Mar 2 at 9:58 AM,5,I Actually Exercise With Supernatural!,"I can't tell you how many exercise devices or machines I have purchased that are okay for awhile and then collect dust! This is such a fun, yet challenging way to exercise, I don't even realize how long I've been doing it until my arms or quads start to wobble!"
49,Princesstoo.2022,2 days ago,5,Life changing,"I love, love this workout app. I highly recommend it."
50,Kieran,12 days ago,1,Money-grabbing useless app,"They'll make sure to let you download the app, take your payment information and have you subscribe to their monthly or annual subscriptions BEFORE telling you that it's not available in your country.

The Meta Quest device will remain a poor purchasing decision as long as it has decisions like this. One of the most popular apps on the device can be downloaded by anyone in the world and take your payment information while only remaining playable to people in the USA.

Ridiculous!"
51,Frickfrog,Mar 16 at 4:38 PM,5,Great cardio,30 minutes goes by in a flash. Had to buy a better face mask because I’m drenched in sweat by the time I’m done. ￼ not a game but feels like one. And songs you actually know.
52,Tsumommy,16 days ago,5,I love supernatural.I love Supernatural.,This game has revolutionized my workouts. I play it last as motivation to get the rest of my boring regiment done.
53,Krimsun,Feb 27 at 12:25 PM,1,BS,"After I selected the trial, they didn't let me cancel it OR automatically cancel it after it was over. Not only that, but they charged me for a whole year which is nearly $200. Very clever. OF COURSE they'll charge you for the most expensive package after the trial without asking. They made sure I couldn't cancel so they could charge me for a whole year subscription."
