,Name,Date,Star Rating,Title,Feedback
18,Nick,23 days ago,5,Les Mills rocks,"I played to sets totalling 10 minutes and my muscles ache now. Music is good,voiceovers nice, leadboards interesting. Graphics are great,no subscription which is excellent in today's climate. Bought this in sale for 13.49 and it's absolutely worth it.
I hope to be looking 32 rather than 52 lol."
19,Professor Odinson,9 days ago,5,Great workout app,"I have been looking for a good workout app and this for sure is it. This app kicks my butt!! Absolutely recommend to anyone looking to get a good workout in and not have to pay a subscription to do it. Here is my 25% off code in case anyone is looking to get their butt kicked into shape! Just take out all the spaces in the link.

www . oculus . com / appreferrals / TheGuyInDaWheelchair/4015163475201433 / ?utm_source=2"
20,ChubbiChibbai,10 days ago,5,The best fitness app for Quest.,"Tried a bunch of fitness apps. This really is the best hands down....or should I say gloves up. 

No subscription. Most the others want you to play monthly. This is pay once and you are good to go. They do update from time to time as well. 

The coaching is fantastic. The form cues respond to your movement and it works. 

The workouts vary from easy to very intense. The sessions are incredibly fun and rewarding and it's the closest I've found to hiring a trainer to hold some pass and yell combos at you. It's pretty much on par. 

If they released paid expansion packs I would willingly pay. It's really that good."
21,Joey,10 days ago,5,Amazing app,"I subscribed to les mills on demand during Covid and bodycombat has been one of my favourites.
I was wishing back then for something like this to be developed and I was over the moon when I saw this. It’s always more fun to have something to hit (esp when you had a bad day) than punching air. This app had me drenched in perspiration just 20mins and I believed I had lost some weight doing it and given that Rachel and Dan were my favourite instructors from lesmills, having them on app is a bonus. Now I’m hoping for something to be developed for the trip from lesmills. Money worth spending if you’re seriously looking to lose some weight and gain an edge on your fitness level!"
22,Sandra,10 days ago,5,Great workout every time!,Thank you developers and fitness team. I’ve enjoyed the workouts tremendously. Some of the same talk can be monotonous but still a great experience! I’m a 59 year old overweight female and after a couple of short workouts or one long and one short. I’m dripping sweat but not winded. Just a really good workout  I haven’t surpassed the beginner stuff but I will. Thanks again.
23,Alan Blain,11 days ago,5,Les Mills Gives You A Great Workout,"I got hooked on SuperNatrual Exercise App using my Oculus Quest 2 Goggles. What so great about SuperNatural is it’s simply a lot of fun and they have great music. I then purchased the Les Mills exercise app and I gotta say it can kick your butt. There are many times I’m left gasping for air.

IMO the two apps compliment each other. For fun and some good exercise I use SuperNatural. To take my fitness goals to a higher level is where Les Mills comes in. On an average days I lift weights for 30 - 40 minutes shooting to hit every body part at least once per week. Those body parts include chest, biceps, triceps, back, shoulders and legs.

For cardio I usually exercise for 60 minutes per day doing the Elliptical, SuperNatrual and Les Mills. The one thing I don’t like about LM is it takes forever to load and the trainers spend too much time popping in and out of the exercises."
24,Alfred,17 days ago,1,Les Mills Bodycombat - Compete Failurel,"STILL NO RESPONSE.... I have reset the device and reinstalled it... I turned on Mic Access as required... it worked twice and I am still getting no response...nor am I eligible for a refund.  TERRIBLE SERVICE.. :(  #stillwaiting


The game only worked twice, and now it’s stuck on the Loading Screen…. Every time.  I’ve been working with Daniel at Odderslab… have performed multipl￼e reinstalls and even a factory reset. Still nothing. 

I just want it to work after paying $29.99… and now I’m ineligible for a refund. Would love someone to contact me but I’ve received ZERO response back as of yet.  Sucks :("
25,Debs,14 days ago,5,Just starting my weight loss journey,"Best £13.99 I ever spent. Along with my calorie controlled diet, I believe this is the answer to getting where I want to be. Not only is it fun, I've worked up a real sweat by the end of it. Yeh the commentary can be abit annoying and repetitive but it is needed as there is constant reminders to get those knees bent and to hit harder etc. Really good to spur you on when getting weary. I thought Audio Trip and Beat Saber were a good workout but this is another level. If I had played a demo version, I would have paid the £22.99 for it as worth every penny so I think I got a real bargain. I can't recommend it enough. I truly believe this is going to help me. Watch this space..... .."
26,SquirrelForce,Feb 27 at 9:39 AM,5,Now THIS is a Workout,"This game will knock the unhealthy out of you (if you're consistent). I recommend you play this game with an adequate amount of space so you don't hurt yourself or damage any of your belongings because YOU WILL MOVE! My only minor gripe with this game is the targets that require you to use your knee to hit them, it can be a little finicky, but it doesn't really take away from your overall workout. I highly recommend this game if you're looking to excersize while having fun."
27,crabby,20 days ago,5,Annoyingly good!,Was one of those things where I figured I'd try it with the expectation that I'd fall out of it straight away... But I must admit it's left me rather a lot more motivated than I expected and although I am aching I am looking forward to my next workout!
28,Djtheman,13 days ago,5,Umm Drenched!!,Ok. Ok. So I looooved Supernatural but this is a BEAST. No monthly subscription and I’m drenched when I’m done. That’s the whole point right?!!  Incredible workouts and I tried it to get more leg work since Supernatural was lacking in the department. Be careful what you ask for. WHEW!!
29,RaynMan,Jan 21 at 3:32 AM,5,"So close, so far","I love this app. I use it every morning before going to work. I give it 7 out of 5 stars.
I highly recommend this game. It's an extremely good workout and it's fun. It's also not subscription based, yet it's still updated frequently.
However, could you please, please, please have Rachel shut up with the ""So close, so far?"" It's extremely annoying. There's no need to say anything at all. 
Wish list: Is it possible to add workouts that focus on certain things like hooks, or uppercuts, etc. It would be just for practice. Maybe 50%-70% dedicated to to that task. Example: I'm at level 25, yet I'm still not good at hooks. It would be nice to have a practice module dedicated just to hooks (or whatever a user chooses) in order to fine tune their skills in that area. If there's a workout that requires a lot of hooks, not only do I have to hear that annoying ""bong"" when I miss a target, but I also have to hear Rachel tell me how bad I suck even though I had a great workout,  I burned a lot of calories, increased my strength and my heart rate was way up."
30,Me,Jan 3 at 11:09 PM,5,Different from supernatural,"I did supernatural for a free trial. I liked the music and had fun with the hard level of boxing. That felt like a joy ride in comparison to the hard levels of bodycombat. bodycombat got my heart pumping better. Way better full body workout. I liked the feature of the score keeping and leaderboard during the workouts. You get more points for hard hits, not just hitting the targets, so I find I really give it my all. The trainers also make you feel like they are coaching you the whole way. I like the feature where it tells you how you have done the last time you did a track. I will miss the views, natural flow of supernatural, and music but you can’t beat a no subscription, good quality exercise app like this one.  $19 one time (on sale) bs $179 a year for super natural. I think I found the winner in Les Mills."
31,Yuray14,Mar 3 at 5:33 AM,5,One of the best VR fitness app out there,"I bought this 2 months ago due to a recommendation from a friend who lost significant weight with this app. I’ve played many VR apps before that keeps you moving but this one makes me sweat a lot. It’s on par with Thrill of the Fight in terms of intensity but what I like about this is you have coaches who really guide you on how to do bodycombat. After 2 months of diet, exercise, and playing this app, I already lost 20 lbs and my stamina has improved greatly. 

Some improvements I hope to see in the future to keeps things fresh
- 1v1 multiplayer. It would be fun to compete against a random player and see his/her avatar playing the same workout. 
- Use of popular music. I wouldn’t mind paying for dlc content if you can do bodycombat with your favorite music. Just don’t make it subscription based. Similar to beat saber it can be a one time fee for each downloadable content."
32,Tosin,Dec 20 at 12:11 PM,5,Get it if you want to destroy fat!,"Omg! I was not expecting how awesome this app would be. It is a great, fun workout and it really gets my heart pumping. I honestly didn't think VR exercising would be effective, but since I've started using this, I'm dropping inches everywhere. I've also noticed an increase in strength. The best part is, it's so much fun that I look forward to working out with it. Just be careful not to overtrain. It's pretty addictive so it can be hard to stop, but I force myself not to use this everyday.

Only negative comments I have is those knees hits. It's almost impossible to get them. I hope this can be improved with a better design for these hits, or better training on this move."
33,Kathy Christian,Mar 16 at 7:33 PM,4,I’m Hooked!,I absolutely love this game! It has been a game changer for me. I am up at 4:30 am to workout before work. This sets my day just like making my bed. My day feels incomplete if I have to miss. I have seen such a difference and feel amazing! At 55 yrs old it seems silly to say that while at work all I can think about is coming home and hitting Body Combat by Les Mills. 😊🙌💯❤️💪
34,David Kelly,19 days ago,5,Fun and very effective,"I am 48 years old and was extremely unfit. When I started playing this game I could barely get through a 6 minute light intensity level. Now I'm doing 40+ minutes of advanced intensity in the morning and am in the best shape I have been for years.  The workout is so much fun I look forward to my morning jabs, hooks and knee smashes.

I tried other fitness apps but they just don't compare. This is great!"
35,Emma Phillips,18 days ago,5,Great workout,"I’m not sure what I expected, but I certainly didn’t expect to sweat as much!! 
Lots of workouts to choose from ranging from 5 to 20 mins. The trainers are super motivating and the leader boards definitely give you a competitive edge and make you work even harder to get to the top! I had great fun and found myself even enjoying working out which never happens. A must buy as far as I’m concerned."
36,Dravnos,22 days ago,3,Good app but lacking safety,"The app itself is great. The workouts are fun and engaging, especially when playing against other people. Main concern is this workout game makes you go hard, even on the easier training levels, and then just abruptly stops the level at the end. With that hard of a workout, it should have a cooldown option to allow you to come down from the high intensity  safely. Until the app utilizes a cooldown option, I do not feel safe playing it."
37,Rochelle,Mar 14 at 5:22 PM,4,Not for the depressed,"The user interface is not as clear as it could be to navigate. That being said, I really love this workout and am using muscles I didn't know I had, lol. The only drawbacks for me are the negative comments like when I haven't been on in a few days or, the 'so close, so far' comments when I don't hit the high points. I struggle with motivation. Knowing I will hear those little comments are a complete shut-down for me. Maybe it's aussie humor but it sucks. Welcome me if I show up and leave the other comments out. Some days I literally hear those comments in my head before I start and don't even begin.... I just go over to Beat Saber."
38,slafec,6 days ago,5,The best fitness app,"A lot of exercises with varying degree of difficulty. Coaches help you focus on technique and motivate you to achieve better results.

You can use my referral link and buy this app with 25% discount:
linktr.ee/slafec"
39,池,20 days ago,5,YOU want to LOSE WEIGHT? BUY IT,"you want to lose weight, buy it! Don't make me beg you!!

This is the real fitness game!! Here are real fitness coaches to help you lose weight! ""Instead of other fitness and entertainment games, they may initially make you feel interesting, but you quickly become bored and turn them off after just a few minutes."". Believe me, I've bought almost all the games I think can make me slim down, and this is the best! 

This software can easily allow you to exercise for more than 40 minutes, and the coach will always talk to you during the exercise process to enable you to persevere. Of course, sometimes it may feel a bit noisy, but this is also a way to make exercise fun early. So don't hesitate! Buy it! You won't regret it!!
If you're on the fence then you can also get
25% off

https://linktr.ee/chi.qian.ge"
40,David,A day ago,3,Great workout app with a MAJOR glitch.,"This app would get 5 stars but a horrible glitch drops it two stars. 

So, let’s say you’re in the middle of a workout. You’re pumped, you’re in the mode etc.

All of a sudden, the targets shrink and raise to knee level. I noticed this seems to happen when squatting. It doesn’t happen ALL of the time but it has happened about 5 or 6 times at this point and it’s VERY frustrating. You can’t even pause the game to recalibrate the targets. You have to go back to the main menu and restart the round. I was able to get it recalibrated one time by stepping out of the boundary zone and it reset on its own.

Nevertheless, an incredibly aggravating glitch especially when it happens mid-round, with a great score. Sometimes I’ll take breaks from this and play Thrill of the Fight because being pissed off in the middle of a workout is not a good feeling lol.

Update: 4/11/2023 - Happened AGAIN when I did a squat… I’m not playing this until the problem is addressed. This is an extremely annoying glitch."
41,Streetwolf,3 days ago,3,"Nice fitness game, but size problem","It's fun and effective when it works. But my size changes all the time. Sometimes I'm 2 meters tall and quite often I'm only 1.50 meters. Sometimes I'm so tall that I have to kneel down or so short that I have to punch way above my head. That is no fun anymore.
Why do I indicate my height in the game if this is not taken into account?"
42,Tekkz10,13 days ago,5,Les Mills,Amazing for fitness workouts. So many routines to choose from. Use this daily as part of my workout programme. Very impressive. No subscription required like most of the other fitness apps. This is by far the best. £22.99 well spent.
43,DimplesNJ,9 days ago,5,Need More Workouts like this,"My friend referred this game to me, I just love it, total body workout that gives me all that I need the challenge, the SOAK&WET results that I love, awesome trainers that make you work harder. A must have game."
44,Doocey,Feb 21 at 2:22 PM,5,Great workout and pretty fun!,"I have been a pretty dedicated Supernatural user for over a year now and still am. I wanted to try something a bit different and see what else the Oculus marketplace had to offer. I read some reviews on Les Mills workout and figured I’d try it out. I did read there wasn’t any warm up mode on Les Mills so I threw on Supernatural and did a short 8-12 minute workout on there just to warm up. I have only been using the Les Mills Workout for a couple of days now, but I can tell you my muscles are sore all over my upper body and it feels great and I love the fact that they integrate knee thrusts into the workout too. So far so good. I will keep intertwining Supernatural and Les Mills workout for an optimal workout. Happy I made the purchase and I hope they keep on top of it and add new workouts and updates like Supernatural does."
45,Rachel Purvis,25 days ago,5,Great workouts!,I was a supernatural user.  I loved it so much I didn’t think I would be interested in any other boxing apps. The reviews on this app convinced me to try it. I will say it didn’t take long for me to unsubscribe from supernatural. Even the short workouts get your heart rate up. I also love the variety of hits. I do struggle with the knee strikes but they are getting easier. I sweat something fierce and I feel so bad a$$ afterwards. I love this app.
46,Pete,9 days ago,4,Cannot get on the VR wife’s addicted,"Bought 2 months ago and it is very good, I do have an issue with my wife always being on it! Great workouts and very addictive. Lost 5 kgs so far and getting better all the time.  Would be nice to get some updated workouts. Some of the longer ones are the shorter workouts patched together so can feel slightly boring if you have done the short ones as a warm up. 
Also it is a shame that I cannot see her scores due to me being account holder. She sees my score to beat"
47,Dudebro,Mar 12 at 4:52 PM,1,Don't waste your money,"The instructors say the same thing whether you're doing good or not. You can miss a target and they tell you good job. The exercise where you pull the target down and knee it doesn't work. I'd say one out of every 10 actually registers. No matter how hard I pull it down and knee it, it just doesn't work. I consider myself to be good at the vr rhythm games as I am a drummer in real life so I know it's not my timing. This game is garbage"
48,Abbp2021,Mar 12 at 4:29 AM,5,5 Star Lesmills Game/Workout,"I absolutely love this app. It is a great workout and I can choose short, medium and long workouts. I can also choose the intensity and   there is plenty of workouts to choose from. This game is amazing and worth every penny. This is great for fitness and losing weight. This is also great for people who have a busy schedule and little time for fitness."
49,Fuzalov Ahmadkhon,20 days ago,2,Hammers are broken,"I have some suggestions.
I missed every single hammer strike no matter how much I tried. I think it has issues. Besides, what is the point of making the targets so small or the gloves so small? Make the gloves larger. It's frustrating to miss when you tried so hard. Make it more rewarding and easy to hit. Increase the intensity a bit. Adjust targets so they scale to user body size, maybe."
50,Julie Peacock,20 days ago,5,Love it…,"Only got this today but love it already,  even though I’m the wrong side of 50, overweight and exercise shy, this was so much fun even though I only managed about 15 minutes will increase it each day.   If you want a referral for 25% off message me. 

I highly recommend this."
51,Toast,Mar 15 at 9:07 PM,4,Best VR workout by far.,"Very immersive and easy to get to grips with. I thought the constant push and chat from the trainers was going to be annoying, but actually no it really does help to get you motivated. 

If I do 45 minutes of this I am totally drenched in sweat, makes you work really hard as long as you don't cheat. 

Only reason I didn't give 5 starts is because I swear the point system is a little flawed due to the tracking of hands has it's issues. 

Otherwise the best VR workout out there by miles. You can keep your follow along DVD's, this is so much better."
52,Jen,Mar 9 at 2:29 PM,5,Great workout and no monthly fees!,"This is a fun, engaging and good for all levels workout. I’ve been using it for about 2 weeks now and it has not gotten boring. The workouts range in length and intensity so that there is always something I have time and ability for.  Because I move a lot I have to recenter the game a few times during each session to stay on target, but there is time for that. Best of all no monthly fee. I have enough subscriptions that I don’t want to add another one. I would buy this again."
53,Austen Owens,23 days ago,5,Loosing weight is fun now!,I’ve lost 20 pounds doing this daily! This game has so much variety with workouts. I haven’t done cardio in the gym in months bc I burn about 500 calories in an hour here! It’s fun & the trainers are super encouraging! GET THIS GAME!
54,Ephrinia63,5 days ago,3,Great workout bad mechanics,"This could be a truly great workout, except for the mechanics of the game. It doesn't track my movements well. It may be that I hit just a bit off, but it ruins the whole experience.  I'm thinking about the problem, and not the workout. It should be more user-friendly."
55,Old Smokey,Jan 10 at 11:54 PM,5,This is the best fitness app available,"TLDR: This game is the best out there.  My only suggestion would be to have an in-app/in-game volume control.  See below for details.

I've used five other fitness apps before LMBC, and for me this is the best of them all. There are workouts for all levels.  It's easy to navigate the menu, and you can save your favorite workouts.  The calories burned is shown on your wrist during the workout session.  The tutorials at the bottom of the menu are helpful for learning the moves.  The music is good, and the rhythm of the songs are timed well with the workout.  There are in-app instructors, and I like to leave their voices on, because they actually help me with my timing and technique. There is another fitness app out there that I have to turn the instructors voice off, because it ruins the flow of the workout.  For me, the LMBC instructors don't ruin the flow of the workout.

I have a suggestion I think would be helpful for me and others.  

Would it be possible to have an in-app volume control for the music and instructors voices.  

My reason. My son lives in another city, and we meet in VR to do the LMBC workouts.  Since there is no multiplayer, we meet in VR.  Then we each go to our LMBC workout lobbies that show the menu.  Once we pick the same workout. Then we time the start of the workout so we're doing the same functional movements within a second or so of each other.  It actually works pretty good.  We're able to tell each other our overall scores and punch/knee/squat streak during the workout.  The only downfall is the instructors voices and music are to loud, and it makes it difficult to hear each other.  Unfortunately, we have to turn the instructors voices off and talk a little louder to hear each other over the music.      

If the developers could give us an in-app volume control, then we could leave the instructors voices on, and then only have to turn down the music and voices just a little bit to be able to hear each other."
56,Kadir,Mar 12 at 12:32 PM,5,A wonderful app without subcription,This is a wonderful and addictive fitness-app without subsription. New workouts are constantly being added with wonderful music. The music does not come from the charts but from free artists. But that makes it all the more interesting. I have tried many fitness-apps but this one is by far the best for me. Thanks very much.
57,Mamacita67,Mar 7 at 5:16 AM,5,Awesome workouts,Have been really impressed with this platform since we purchased over a year ago. Never fails to deliver a comprehensive workout whether it’s five minutes or thirty. The coaching is motivating without being annoying and I never fail to break a sweat and feel it in my muscles the next day. Love this app.
58,Paweł Piwoński,Mar 11 at 10:16 PM,5,Best VR training,"Discount here:
https://tiny.pl/w22fk

Before i got this I was training on FitXR and was paying 10$ monthly, but I started the training here on Les Mills Bodycombat and I have to say that it's much better, more moves and more sweat and less weight for less money ;) I only hope that they will never switch to monthly subscription."
59,Oenone,23 days ago,5,Fantastic,"Fantastic value for money! I love how effective the work outs are! I’m totally sweating after a few minutes. I love trying to beat my last scores on workouts I have completed!
It would be awesome if we could add our own music!"
60,Chaos1964,Mar 6 at 12:00 PM,5,Let's do this!,"My nephew got a Quest 2 for his birthday and after trying his I had to get one! How does a 58 year old woman justify purchasing her first ever gaming system? By saying I'm gonna use it to get in shape, right! 

After checking out several apps I decided on this one because it's challenged and pushed me to do more than I thought capable of at my age even with bad knees. There might be hope for me yet. 😁 

Another big plus for me is there's not a monthly subscription with this workout app unlike a lot of the others.

If you think you'd like to try this one out please feel free to visit my bio.link page listed below. You'll find a referral link listed there for this app. If you use that link when you purchase the game you'll get 25% off and I'll get $5 store credit, that's a win for both of us!😁  Thank you and have fun! 

https://bio.link/chaos1964"
61,Pangolin,Mar 7 at 3:02 PM,5,A game-changer!,"The Les Mills Body combat is an incredible fitness experience that truly delivers on its promise of providing an intense, engaging and immersive workout. It has taken my fitness routine to a whole new level.

I really love how the high-definition graphics and surround sound audio make you feel like you're actually in a live combat class, with your virtual instructor guiding you through every punch, kick and move. It's truly an immersive experience that will keep you motivated and engaged throughout your workout. From the beginner-friendly workouts to the more advanced routines, there's something for everyone here.

Overall, the Les Mills Body combat app is a game-changer for anyone looking to take their fitness to the next level. With its stunning visuals, expertly crafted workouts and unmatched convenience, this app is sure to help you achieve your fitness goals in a fun and engaging way.  Highly recommended!

Feel free to apply my 25% discount code. Discount or not, the app is worth every single penny! 

https://www.oculus.com /appreferrals/promiscuouspangolin/4015163475201433/?utm_source=2

Remember to remove the spacing behind the "".com"" when you use the link.

Feel free to message me for the direct link if you have any troubles applying the above🙂"
62,Michael,17 days ago,5,Four Good Things,"1.  Fun workout
2. NO SUBSCRIPTION REQUIRED
3. Leaderboard
4. Copy and append my referral to the Occulus  app referrals domain to get 25% off!

mikedslayer.2023/4015163475201433/?utm_source=2"
63,xeiram,Mar 5 at 12:17 PM,5,One of the Best VR Workout Apps to date!,"No need to pay a subscription to get a full,  light body workout. This application will motivate you to get in shape and is one of the many titles I turn to first when putting on my quest 2 / quest pro headset. This title will not disappoint! 

Use my referral link to buy LES MILLS BODYCOMBAT and you can get 25% off your purchase!

Jusr copy and paste the referral link by removing the space that is after "".com""

https://www.oculus.com /appreferrals/ayu
serious/4015163475201433/"
