,Name,Date,Star Rating,Title,Feedback
10,MikeSanchez831,Mar 2 at 4:19 AM,5,Awesome Boxing training,"I always want to join a gym or boxing gym to workout my body and to strengthen my punches, tone my muscles and raise my stamina. When I found this on my oculus I got it right away and I'm glad that I did. It has awesome training courses and hard up beats that give a good work out. I recommend it to you all . From young to old any one can do these awesome training. So why do u all give it a try you won't be disappointed."
11,CaineyP,Jan 16 at 8:16 PM,3,Great but …,"Worked out for the first time last night. Me and my son were sweating by the end of a couple lessons. It’s definitely a good workout and I’ll buy additional in app purchases

From other reviews and playing Beat Saber. It would be nice to buy add ons. Monthly subscriptions can be pricey this day in age. We already paid HUNDREDS for the actual device"
12,Mahindi Masai,14 days ago,1,Does it even work?,This game is completely useless with Oculus 2. If you can get it to work…great. It does nothing for me but freeze and crash. Totally useless!
13,Mark,Dec 4 at 2:02 PM,3,Take my money!,"Here's the problem. Right now, I'm bored with the free stuff, but I don't want a monthly subscription, so let me BUY a new workout.

Right now I'm gonna stop using this cos, bored, and I WANT to give the company MONEY, but there is no way to do this beyond a, frankly, costly subscription model that I don't want, so me, my money, this app, part company. 

Beatsaber does not require a subscription. Beatsaber makes money selling add ons. I want to give you money. You are a company. Make the bit where I give you money an option.

You don't even need to get rid of the subscription option,  just add a third option for individual add ons. Easy."
14,Moly,Jan 25 at 12:46 PM,1,Taking a full year payment is NOT cool,"My wife bought this to use on my meta as part of a to get into shape 

She really liked it and decided to purchase it for £7.99 a month. However I got charged £150 ?!!!!!!???  As she had used a 7 day trial I couldn’t request my money back - so a very naughty tactic in play here 

Thankfully I got onto mega support and they sorted it for me as a gesture of goodwill due to the mistake 

If we could pay monthly, we would pay and keep it, but meta says you do not have that option?"
15,Adem,Mar 2 at 10:06 PM,5,Great workout!,"We got the app through an enjoyment of boxing games on VR, but this game is so much more! We have done full body workouts and the game has got all the family getting up and giving it a go, with great music, atmosphere and clear instructions it is a fabulous app for a workout, even if it's 10 minutes or a longer built up workout."
16,Megan,Feb 23 at 6:00 PM,5,Boxing and more,"I can’t believe the variety that they provide. I initially thought it would just be a boxing program, but was pleasantly surprised to find out that they offer full body workouts as well. I love that they label their workouts/trainings by the number of songs and provide the time. I also love the variety of different music genres they provide. I haven’t come across a trainer yet that I haven’t liked. I would definitely recommend this app to anyone looking for a fun way to get up and moving!"
17,Makipyu,Feb 23 at 2:56 PM,5,This app is great,"I'm easily able to learn a good amount of calories with this, and if you are willing to pay a small fee, you can get a lot more features to it that help you get full body workouts, my favorite to do on here is the box to the beat, I love to play that overall, I say this is a great way to exercise burn calories and have fun"
18,Devine,Feb 25 at 12:30 AM,5,Great workout for me!!,"This game helps me focus and encourages me to get up and move. I love working hard to beat my own score considering I’m not in the greatest of shape. If I get too tired I rest but I do try to complete at least three different training a few times a day. Be sure to have a fan, water and FUN!!"
19,Lilmiss,Feb 22 at 9:21 PM,5,Entertaining and Does the JOB!,"I don't have much motivation or time to work out on a regular basis. I downloaded this app and was skeptical at first. After my first try, I was immediately in love! Not only does it give you a wicked work out, it is actually fun! The time just sails by and you don't even realize it. Well Done Liteboxer! I will be doing the full subscription based on my experience thus far! Totally worth it!"
20,Bryson,Feb 22 at 10:36 PM,5,Best Experience!,"I recently lost 20 pounds and get overwhelmed at a gym. I purchased this set for my family but I needed to set up an account and i clicked on this app out of curiosity, and it has completely changed my daily workout routine, breathing, and all around just a great experience! It has me moving and improving my breathing and building strength!"
21,kurohuku,Feb 21 at 4:32 PM,5,Great instruction,"There are many instructors and full-video instructions. I think this is the No.1 app for instruction. Class construction is so great.
But need more improvement on Hitbox and UI/HUDs. My punches are not recognized and through or ignore targets. UI/HUDs seem 2D like planes, videos too. Mitt Drill instructor videos like 2d video feeling. Some of the classes relay physical Litebox machine eg, grab the machine and stretch, it's bad we can't touch the virtual machine. Hand-tracking is still unstable but it's hardware limit so they are dedicated to implementation. And this app supports LIV.
The basic plan is free. You can play many classes, just try it."
22,diego,Feb 23 at 11:41 PM,5,IF YOU DONT OWN THIS YOUR MISSING OUT,"Not only is this a home workout, but I had a hard time imagining it could supplement my fitness the same way my usual studio workouts do. However, boxing has been gaining popularity as a highly effective personal workout.The best workout for those who hate actual physical working out"
23,Pagans1213,Feb 23 at 9:17 PM,5,Very fun app for the whole family,"This app is great for adults and kids, my kids love to play to challenge themselves and it's a great way to get a quick workout. Easy way to be active while being inside. The free version is great we are going to get the full version to see how much more fun we can have with it!"
24,Erika,Feb 4 at 12:36 AM,5,LOVE THIS PROGRAM,"I LOVE this program.  I am brand new to VR, and am probably THE least motivated person on the planet.  So, finding this program has been awesome!  It's varying lengths of workouts, which is great if you only have 5 min until the kids wake up, etc. It is fun, it is easy to learn and use (I'm old, I need help), and I really love that the stats are displayed for you each time.  I HIGHLY recommend this!"
25,Ben Moynihan,11 days ago,4,Really Good,"Really good and a good price too for what you get.

Only niggle is that it doesn’t look like there is a way of changing the weights from lb to kg."
26,nutterbutter,Feb 23 at 6:28 AM,5,This Truly Saved My Life!!!!,Ok let me start by saying thank you last March my Mother died of a heart attack. No goodbyes or I love you just gone forever. I was just over eating daily didn't care lying around dying daily. For Christmas I got both my son's the quest oculist 2 VR SETS. THO EXSPENSIVE  WHEN I USED it for first time I was blown away.Then I found  LITEBOXER this game saved my life. Gave me a reason to get off  my butt and find the man that I was n more. It's challenging and pushes you to do better every time. I'm now a better man than I ever was my cardio is insane my love life well let's say my wife loves the game alot lol. If you need any reason to get back your get back try LITEBOXER it's a life changing game. Thanks LITEBOXER you saved my life better man father partner Sincerely Will Snively SR
27,Connie J,Feb 28 at 5:33 PM,4,Great workout for a newbie,"This workout is a great workout and really made me sweat! I felt it in my arms, shoulders and legs for several days after my initial workout and find myself looking forward to the next workout. While I have not yet committed to the subscription, I may need to at least do the trial to see what other workouts are there but think the $14.99 monthly fee may not be worth it in the long run.  I like the workouts with the trainers as it keeps me motivated with their encouragement and the free versions don’t offer many options with the trainers so I’m feeling forced to pay if that is the only way I’ll have more options and not get bored with the few workouts that are free."
28,Forma,Feb 26 at 9:25 PM,5,Love a workout app with AR,"I don't have much space on my gameroom, so be able to use AR to workout it's a must, works awesome even on a quest 2. I'm sweating without the fear of breaking something. Missing some Luis Miguel songs, but other than that, it's a great workout app."
29,Kathleen,13 days ago,5,Kathleen,Excellent work out program. Many varieties! Fun! Great music! Definitely recommend!
30,Cat,Mar 2 at 1:48 AM,5,Love it!,I’m new to gaming and bout the Meta Quest Teo for exercise. I downloaded Liteboxer and LOVE IT! Love how realistic it is and the ‘real life’ trainers. It really makes you work up a sweat! Buy it … you won’t be disappointed
31,Crystal,Feb 3 at 6:12 PM,4,"Game good, pricing bad","I personally enjoy target games that use regular main stream music. Listening to upbeat and fun music seems to be the best motivator for me to stay committed to a game. I've tried Supernatural, Beat Saber, Audio Trip and LiteBoxer. 
I am concluding Supernatural aligns best for me. The price is similar $179 for annual membership but I've never heard the same song twice in that app. They also offer boxing, targets, stretching and I believe yoga. I never have to buy any expansion packs for more music or workouts. New content is uploaded daily.
Beat Saber is fun, purchased once, but only includes about 30-40 songs, most of them I hate, none of them are familiar to me outside of the game. But you can purchase expansion packs for more music. I like that Beat Saber has the online community where you can compete with other people. 
Audio Trip comes with about 30-40 songs as well. It also comes with a virtual fitness tracker watch that you can view while working out. You can download an app on your phone and it will put all of your work out data on the app as well. But after beating the beginner level I was disappointed to find out it didn't unlock new songs for me. That's when I started to try out LiteBoxer.
LiteBoxer is really fun but I try to keep away from games that charge monthly and I couldn't really try enough to commit to purchasing an annual subscription. Supernatural gives a full 7 days free trial completely unbridled with full functionality of the game. All that being said, I think I'm just going to stick to my first choice. The only part that annoys me with Supernatural is the trainers talk too much. I'd like if they STFU so I can just focus on the music lol"
32,Tracy,Mar 1 at 5:56 AM,5,Addictive and enjoyable,"I find I am almost immediately ready to try to beat my last score. I love that I don't have to move too fast , as I am still recovering from a major surgery last summer I addition to a chronic illness. This is still challenging and fun."
33,Tash,Feb 23 at 6:34 PM,5,Love the app! Get paid you won’t regret!,"Been using this app for a week now and I love it! So easy to use, display is great and it gives a great workout!!! Loads of songs to choose from and trainer workouts too; the large variety keeps it fresh every session. Play this at least 3 times a day!"
34,Jorge Mata Jr.,Feb 23 at 5:30 PM,5,Pretty great start,"New to VR and wanting to try everything it has to offer, checked out Liteboxer and had a lot of fun with it. Punch tracks are great, the full body workouts were fun too. I'll be subscribing to a premium membership to get the full experience. Thank u"
35,Henry,Feb 24 at 2:02 AM,5,really good work out,i have the free version…so i was looking for a work out that i could do with my herniated disc in my back! so happy i found this i havent even tried everything but i “play” everyday for about 30 mins and i am sweating when im done! i love it!
36,fjpfjp,Feb 24 at 9:46 AM,4,Karate black belt got sore muscles 👍🏻,"I hold a Karate black belt, do barefoot running and consider myself a sporty and fit person. I only use the free version of the App but the exercises really have a punch (pun intended). After the days I used it, I really felt some sore muscle ache, partly in body parts which I didn’t even know they exist. Of course, new movements in a different way cause the body to react, even if the body is properly trained. Altogether I can say that if you really immerse yourself into the exercises, you will definitely sweat, get out of breath, and your body reacts. It’s really a workout, not some wimpy game movements, but at the same time it’s fun!

I second the suggestion of many others to offer exercise packs besides the subscription model, just like the music packs in Best Saber (-1 star for that)."
37,Jen,Feb 24 at 4:16 AM,4,Fun way to workout,"I've enjoyed this app so far.  Unlike others where you might get a quick demo, LB offers enough free content that you can get a feel for all it has to offer.   The workouts are interesting and keep you engaged. My only complaint is it can be really glitchy at times.  Sometimes it works great and other times, I have to restart 5+ times to get it working."
38,Istikhar,Mar 1 at 5:39 PM,5,Good,I like this because I don't like doing exercise but vr has made it more fun and now I like doing and I am trying to do this twice a week and I like it and I would definitely recommend it to all of people who play vr
39,Keliel23,4 days ago,2,No access,I. Guess the “Basic” is a bait and switch. Can’t edit my profile are workout.  Very disappointed
40,VikaStorm,Feb 27 at 4:31 PM,5,Free version,I can’t really afford to pay for a subscription soon stick with the free version and I use this app at least theee times a day to supplement my workout routine. It makes working out more fun that it used to be for me
41,tiff,Feb 23 at 12:07 AM,4,Cool concept,"I have only tried this game out a few times, but I really like it so far. It's a really cool concept and different from the other apps I've seen. I'm only doing the free version right now, but may subscribe in the future. The only issue I have is trying to hit the buttons. All of the continue, start workout, go back, etc. are a pain in my butt. I try lightly touching then, going so the way through, double-tapping, holding them down, and it takes forever for them to work, even though they're showing they're being pushed down and make a clicking noise. That's my only complaint with the app, but it really drives me nuts. Otherwise, a good boxing app!"
42,Ada,Feb 28 at 10:48 PM,5,Great sweat,This is definitely my favorite even the free version will have you sweating and sore for days. Perfect for all levels a fun workout out with out feeling like you’re working out. I definitely recommend this one.
43,Reincarnation cc,Feb 22 at 9:05 PM,5,Suprised in a good way,"I was sceptical first seeing the ads about this VR Game.
But it is very nice and highly motivating.
I now use it often as cardio instead of on the treadmill or stationary bike. 
Haven't tried the full version yet due to the monthly price"
44,Aj,Feb 24 at 5:04 PM,4,,The free stuff is great but it’s the same 3 or 4 workouts that we have access to. I feel like there should be more free content for users who don’t want to spend more money on the app when people have spent hundreds on the console. Other than that the app is a great workout
45,Diana,Feb 27 at 3:56 AM,4,Really cool..!!,"I love this game so far, the trainings are great and it’s really fun and amazing workout, my only complaint is that the paid version is a bit pricey, I wouldn’t want to be paying that much each month, It would be great if you could come up with a different model."
46,Rory,8 days ago,5,I have 6 pack now,This help so much
47,Summers,Feb 23 at 5:40 AM,4,A fun and easy way to move!,This has been a fun and easy way to incorporate move my in my day. Easy to follow and modify to my personal comfort. Would love to see the possibility of add on purchases instead of monthly subscription. Love the free version but not ready to add another subscription at this time.
48,Meagan,Feb 22 at 9:38 PM,5,I use this app daily,I use this app daily in my workout their whole body workouts are a great way to warm up for you whole workout. It's fun and easy to keep up with! Would recommend this product to anyone needing a new app to workout with.
49,greg,Feb 28 at 3:24 AM,5,Love it,Although I wish I had enough money for the premium the free version is good I Especially like doing the punch tracks and trainer classes and it doesn't hurt that the ladies are nice looking too
50,Splatbeyonce128,Feb 24 at 2:50 AM,4,some problems i have with this app.,"its nice, i like it. Really gets thw sweat outta ya but the premium... yeesh 1. too expensive. 2. why put some items and workouts behind a paywall, its not right. 3. the design of the whole thing seems old timey. So yeah, thats what i have to say. but great app though!"
51,Emmett,Mar 1 at 4:22 AM,5,Loads of fun,Really like the music and the workouts. I’m pretty competitive so I like that there are scores for how well you did. I can either try to beat my previous score or someone else’s.
52,Pearceo628,Feb 14 at 8:04 AM,5,Lite boxer is THE BEST!!!!,"I have had liteboxer for only a month and I am loving it. Their full body workouts are better than the gym and the mid sessions are magnificent. I only use the free plan and it’s better quality than any paid for workout. 10/10, would definitely recommend"
53,Logan,Feb 28 at 9:26 PM,5,LOVE IT!,This has by far been the best workouts that I have had on the oculus especially considering you can do a lot for free! The paid version also adds a ton of flexibility and perks!
54,The Weirdly Amused,Mar 9 at 5:24 AM,5,fun to work out,liteboxer has made it fun to work out and i love it. The hand tracking makes it like real boxing and dont need to use the controllers
55,Choley,Mar 3 at 9:50 PM,4,Love it so far!,"I have the free version right now but the full body workouts are enough to make you want to buy the advanced version! It really is a good app to have especially if you are trying to get in shape, or back in shape."
56,Edwina,Feb 3 at 12:58 AM,5,Great boxing exercise,I really like the game the only down is that it cost a month;-( There is so many applications I like and they also charge monthly subscription.Otherwise it’s a great boxing experience I used to play fit xr but I can tell Honestly that this one is much better I will for sure but the subscription maybe not for every month
57,Alex,Feb 2 at 12:02 AM,5,The Best App Ever,From the first time I started this app I have been getting my butt kicked  with each workout. This is one of the best workout app ever and with it being on the oculus make it a game changer I told everyone who I know that this should be the first app  purchased when on Oculus. I say Keep it going and the music hits different  I love it
58,MajorAlpha,Feb 2 at 3:02 AM,5,Improve Your Fitness and Have a Blast!,"Get dope games on Quest and Rift with 25% discount via my promo link below:
https://docs.google.com/spreadsheets/d/1HlKRBcELJeY3i5woZsO2cu6KtcO_8o8QYexyLFmtaNY/edit?usp=sharing

Liteboxer appears to be a VR rhythm-based boxing game that allows players to physically punch and dodge along to the beat of popular music tracks. The game has received positive reviews for its immersive experience and its use of full-body movement to enhance the workout experience. Some players have also praised the game for its variety of difficulty levels and for being an enjoyable way to stay physically active."
59,Kris,Feb 1 at 9:58 PM,5,From a non-boxer,"I love this app!
The trainers are fun and even with the ‘basic’ package they have personality and make every workout or mitt drill fun!
GW and JD are my favorite. I have to remind myself I’m not in the gym with them sometimes when I catch myself laughing or really getting into the groove.
It doesn’t feel like a trainer with forced motivation - it’s like fooling around with friends, getting a good workout, and seeing the leaderboards to throw in a little competition as well.

5 star recommend.
Oh, can use with hand tracking too if you don’t like holding the controllers - I thought that was neat."
60,George,Mar 3 at 9:10 PM,4,Great workout,"Great workout, either all over body or just arms. Gets you motivated and moving really enjoyable, great way to work out at home.
Sucks that you have to pay monthly for premium to use most of the game content"
61,Got em,Feb 23 at 9:24 PM,4,It's pretty good!,"If you're looking for a way to get started on your fitness journey, I think this is a great way to do it. I've been in boxing/ training for over a year and I definitely see some crossover between the two. The only limitations is the headset itself"
62,Freya,Feb 28 at 12:37 PM,5,Amazing,I recently got a VR and started to use LiteBoxer to get my daily workout in - I loved in so much I have upgraded to premium and it is absolutely worth the money!
63,Danny,Feb 20 at 8:37 AM,2,Amazing but costly,"What an awesome way to hammer out a workout. I am content with the free version but 18/mo for premium is great if you are living on money. I’d hope they would drop the price to 8-10 a month. 

Edit:

Used to work. Now it just stops at the main screen. It’s a great app, when it works."
64,Sara Treen,Mar 9 at 5:39 AM,5,Awesome app,The free version is very nice.  There’s lots of workouts to try. It simple to follow and gets you a great workout.
65,Seangmenzies87,Feb 22 at 9:24 PM,5,Best boxing fitness app!,"This app exceeds expectations. The workouts are really easy to follow, and the trainers are a great help. Love the choice of music for the different activities! Would really recommend."
66,Maanders,Feb 24 at 3:13 AM,5,Good work out,I’m a newbie for exercise and found this very enjoyable! I was sweating by the end of a 15 minute work out! Will recommend to everyone! And keep it up every day to stay active!
67,Nics Laidlaw,Feb 3 at 9:27 PM,5,New found love,"I found this to be great for helping me to get fit and lose weight. I do 3 or 4 of them a day...... just would like to change one thing..... I would like to see more options instead of the same six on the front..... otherwise, I love it and have lost 7lb in a month....Thank you"
68,richlynnwatson,Feb 11 at 5:34 PM,5,Surprisingly great,"I am enjoying this app much more than I thought I would. Even without the subscription, there are great workouts to choose from and they will really make you sweat. Going to give the free trial a go and may even signup for this one."
69,Suave,Feb 22 at 9:10 PM,5,Awesome Game & Experience,"This game is awesome.  Just started playing it, but I'm hooked.  Got my wife on it as well. I trained in boxing, and this game gives you a full experience.  5 out of 5"
70,Gary,Feb 23 at 1:46 AM,5,Lite boxing,"Great workout easy to get up to a sweat. Punch as hard and fast as you want or can. Looking forward to using this app more. Lots of options for free.
Nice job guys"
71,Xenon,Feb 3 at 5:30 PM,5,Music for freestyle?,"The content is great and I really enjoy the app. I like that I can compete with thousands of other people or just my friends who enjoy boxing as much as I do, I just wish there was more music options for free mode or a small selection of music for freestyle."
72,Layla,Feb 1 at 9:09 PM,5,Great app,"I’ve just started but love this app.  There are so many different exercises to do.  You will not get bored.  It’s great to have different speed options also.  The only issue would be, it would be nice to have different genres of song options to work out to."
73,EPonce94,Feb 11 at 9:51 AM,3,Great. But at a cost.,This app is very great. Variety of workouts to get the heart rate going and a fun way to work up a sweat. A decent track list to go with your workouts. I've been using the trial so far and I've enjoyed it. My downfall is the price of the premium membership.
74,Levi,Feb 10 at 1:43 PM,5,awesome experience,I recently just tried out light boxer on my Sons oculus and it was much more than I expected I had a lot of fun me and him tried to beat each other's high scores plus it's a great little Work out for my son also
75,Jascurtis66,Feb 25 at 9:15 PM,5,Enjoyable,Great variety of workout on this app so you can get it done in your own home without all the expensive equipment! Fully recommend this.
76,Jazzy,Feb 4 at 11:19 PM,4,I like it a lot,I really needed to start working out but I would rather have just bought app like beat saber and purchased ad ons when I want. So personally I have to switch to beat saber when I'm bored with the free plan to get some exercise but I do love the concept I even tell my friends and family about it .
77,MamaO,Feb 4 at 12:07 AM,4,A great way to workout!,"I love that you have a personal trainer right there with you showing and telling you what to do.  They are very encouraging and help you keep going, even when its tough.  I like that it focuses on ither part of the body and not just your arms.  I would give it 5 stars but Im new to it and still trying to figure out what workouts will work for me.  Im a beginner and there arent many easy levels from what I can tell.  It also seems like there arnt many choices and I dont understand the options on the right hand if the screen but I will figure it out.  The music is great!"
78,Neo,Feb 3 at 9:34 PM,4,"So far, so good!","It’s early days into the app but as of now really enjoying the free sessions on the app. 

Rather than needing a subscription to get more addons, would be better if you had a section where you can just purchase individual sessions to add to the catalogue. But so far, I’ve no complaints about the app."
79,Kenneth,Feb 1 at 10:07 PM,5,love it so far!,"Im only doing the basic package so far, but enjoying it so much!!  I only wish it wasnt subscription based and just a one time fee.  If funds wernt tight though, id pay for the subscription.  We'll see in the future!  Thank you for a great fitness app!"
80,Tosh.O,Mar 1 at 1:25 AM,4,Free Version,"I really enjoy boxer, it's a great workout. I was definitely sore the next day lol I just wish the free version had a few more workouts available. Think I'll purchase though."
81,Lynx,3 days ago,5,Fun,"I love this app its helped me so much.
25% off
0culus c0m / appreferrals /Antilynx95 /4175028349266073 /"
82,RHH,Feb 2 at 9:09 PM,4,It's fun....but,"I really enjoy the punch tracks and the wide selection of music. However, it's very hard to get instructions to find out how streaks work and also to determine if hitting the target's harder actually increases your power or increases your score. Some of the trainer would courses are very difficult to use especially when the trainers are right in front of the target, that makes it very hard to actually see where you're hitting and it's a huge distraction"
83,Tierra,Feb 3 at 5:46 PM,5,Great workouts!,"I had supernatural last year and really liked it but I LOVE Liteboxer!  I gave up my subscription to Supernatural for Liteboxer instead.  Great workouts, it is like you are really there with the trainers and the music tracks are awesome!"
84,Lasonta,Dec 14 at 3:59 AM,1,Why are we paying for 2 subscriptions,I was noticing that you can log in and get a subscription through your meta quest account but then when I was playing the game I had no features when I had just opted into their 30 days free and 18 $19 after that. Then I'm checking out the reviews and someone was pointing out some pros and cons and noticed that there is a subscription on the light boxer website also that's $159 a year. So why take people's money knowing that what they believe in a subscription from you all is going to be the full length game and workouts and not saying that there is a whole nother website to go to and get really get into the workouts?
85,Cody,Feb 24 at 9:29 PM,5,Love the app,The app is awesome. I have not subscribed yet but I’m really thinking about it. Even the basic plan offers so much. It’s awesome for working out.
86,skydunker,Feb 1 at 9:46 PM,4,Liteboxer,"Liteboxer is a good way to enjoy your workout.  It does a good job of keeping track of your workout stats, but it does not let you go back and look at your stats for specific days which is a bummer.  The subscription is pretty expensive.  Would be nice to see a micro transaction model be implemented along with the subscription to make it more affordable for everyone.  But if you have the subscription liteboxer is incredibly fun and addicting."
87,Superstar,Feb 1 at 11:59 PM,4,Excellent workout,"I love the boxing with a trainer model.  Other boxing games I have purchased don't include this option.  The workouts are really good and the music is fun.   So far, I'm still using the free content.  I appreciate that they offer this as an option.   I'll probably upgrade to the subscription once I get bored with the free content."
88,KarastinJean,Feb 1 at 10:50 PM,4,Amazing Work Out!,I don't work out often not have I ever boxed trying to get a little healthier I stumbled upon this app and I absolutely love it! I've used it everyday this month and I wish there was more free workouts or a way to just buy a few I can't afford a membership but I would love a little more and wouldn't mind paying for a little more when needed.
89,Pepe,Feb 3 at 12:51 AM,4,"Very nice features, but…","I really enjoy the app, I think it keeps you motivated and engaged. The thing I do not like so much is not having options for new workouts unless you subscribe. I undersgan it cannot be all for free, but maybe offer a couple of workout packages for a one time fee, like other games and apps do."
90,Bebo,Mar 2 at 9:38 PM,5,Amazing,First time trying this with my kids. We lived it. The music motivates you too go to the beat!!!
91,Ashley DesChenes,Feb 23 at 9:40 PM,5,Love this app,The trainers make you feel like you’re in a real class and it doesn’t even feel like a workout because it’s fun to play
92,Joey,Feb 26 at 10:12 PM,4,Dancehall wanted,I am really enjoying the app and have signed up for the subscription. Although I am gutted as I wish there were ore dancehall songs on there to get me in the mood more
93,Craig,Feb 6 at 4:26 PM,4,Amazing Free!!,They offer a lot for absolutely no cost. The workouts are great and actually very fun and detailed. My only issue is that the targets dont always register when hitting them. I'm new to VR so maybe that's the way she goes or something can be updated in the app itself.
94,Wyldbit,Feb 4 at 2:31 AM,4,Its getting better an better!,"UPDATE 2: It deserves 4 stars now. Good workouts, better graphics, trainers are good and varieties in the gameplay. It really makes fun and give a good workout. The subscription is a thing i personally don't like, but the game has gone a long way from 1/2 stars to 4 stars now. Well made! 

OLD: I like the music and the graphics are ok… but the gameplay is very basic - only the device you box at. That's all, that is the whole game! It's boring, under average, no variety. It's like a rhythm whack-a-mole game without the moles. I tried a few ""hard"" workouts, but they are not hard either and I didn't sweat, it's far from a full workout.

UPDATED 1: Now with the free BASIC membership I give this game 3 stars.

OLD: This costs a very expensive membership subscription! What's the benefit? Is there anything I don't see? More variety? I would consider to buy it for 5 to 10 USD (onetime) and play it maybe sometimes for warm-up. There are very many and far better (and much cheaper) alternatives for the Quest 2 if you like boxing or workouts."
95,eeveeee,Feb 24 at 4:11 AM,4,Much more than a game.,This app is really helpful if you want to get in shape and learn to box while you are at it. It is fun and very interactive plus you do not have to pay of you do not want to. 9/10
96,Kristina,Feb 28 at 3:16 AM,4,Boxing Exercise,It's a great workout.  Can do a short workout or a long workout depending on the time you have.  I do the boxing on my days off from the gym.  Would recommend.
